text,deck
"In Rome, there are whisperings that the Vatican has a secret room devoted to  - .",unassigned
"In the distant future, historians will agree that – marked the beginning of America's decline.",unassigned
"In the new Disney Channel Original Movie, Hannah Montana struggles with – for the first time.",unassigned
"Instead of coal, Santa now gives the bad children  -  .",unassigned
It's a pity that kids these days are all getting involved with  - .,unassigned
Jesus is  - .,unassigned
Life for American Indians was forever changed when the White Man introduced them to  - .,unassigned
"Little Miss Muffet, Sat on a tuffet, Eating her curds and  - .",unassigned
Major League Baseball has banned – for giving players an unfair advantage.,unassigned
Maybe she's born with it. Maybe it's  - .,unassigned
Members of New York's social elite are paying thousands of dollars just to experience  - .,unassigned
MTV's new reality show features eight washed - up celebrities living with  - .,unassigned
"My country, 'tis of thee, sweet land of  - .",unassigned
My mom freaked out when she looked at my browser history and found  - .com/ - .,unassigned
My new favorite porn star is Joey “ - ” McGee.,unassigned
Next from J.K. Rowling: Harry Potter and the Chamber of  - .,unassigned
Next on ESPN2: The World Series of  - .,unassigned
Next time on Dr. Phil: How to talk to your child about  - .,unassigned
"On the third day of Christmas, my true love game to me: three French hens, two turtle doves, and  - .",unassigned
Only two things in life are certain: death and  - .,unassigned
Science will never explain the origin of  - .,unassigned
Studies show that lab rats navigate mazes 50% faster after being exposed to  - ,unassigned
The CIA now interrogates enemy agents by repeatedly subjecting them to  - .,unassigned
The class field trip was completely ruined by  - .,unassigned
"The Five Stages of Grief: denial, anger, bargaining,  -  acceptance.",unassigned
The healing process began when I joined a support group for victims of  - .,unassigned
The socialist governments of Scandanavia have declared that access to – is a basic human right.,unassigned
"The votes are in, and the new high school mascot is  - .",unassigned
"This holiday season, Tim Allen must overcome his fear of – to save Christmas.",unassigned
This is the way the world ends This is the way the world ends Not with a bang but with  - .,unassigned
This is your captain speaking. Fasten your seatbelts and prepare for  - .,unassigned
This month's Cosmo: “Spice up your sex life by bringing – into the bedroom.”,unassigned
"This reason on Man vs. Wild, Bear Grylls must survive in the depths of the Amazon with only – and his wits.",unassigned
Tonight on 20/20: What you don't know about – could kill you.,unassigned
TSA guidelines now prohibit – on airplanes.,unassigned
"Wake up, America. Christmas is under attack by secular liberals and their  - .",unassigned
War! What is it good for?,unassigned
What am I giving up for Lent?,unassigned
What are my parents hiding from me?,unassigned
What brought the orgy to a grinding halt?,unassigned
What did I bring back from Mexico?,unassigned
What did the US airdrop to the children of Afghanistan?,unassigned
What did Vin Diesel eat for dinner?,unassigned
What do old people smell like?,unassigned
What does Dick Cheney prefer?,unassigned
What don't you want to find in your Chinese food?,unassigned
What ended my last relationship?,unassigned
What gets better with age?,unassigned
What gives me uncontrollable gas?,unassigned
What has been making life difficult at the nudist colony?,unassigned
What helps Obama unwind?,unassigned
What is Batman's guilty pleasure?,unassigned
"What keeps me warm during the cold, cold winter?",unassigned
What never fails to liven up the party?,unassigned
What people like  - .,unassigned
What will always get you laid?,unassigned
What will I bring back in time to convince people that I am a powerful wizard?,unassigned
"What would grandma find disturbing, yet oddly charming?",unassigned
What's a girl's best friend?,unassigned
What's my anti - drug?,unassigned
What's my secret power?,unassigned
What's Teach for America using to inspire inner city students to succeed?,unassigned
What's that smell?,unassigned
What's that sound?,unassigned
What's the crustiest?,unassigned
What's the gift that keeps on giving?,unassigned
What's the most emo?,unassigned
What's the new fad diet?,unassigned
What's the next Happy Meal toy?,unassigned
What's there a ton of in heaven?,unassigned
"When all else fails, I can always masturbate to  - .",unassigned
"When I am a billionaire, I shall erect a 50 - foot statue to commemorate  - .",unassigned
"When I am President of the United States, I will create the Department of  - .",unassigned
"When I pooped, what came out of my butt?",unassigned
"When Pharaoh remained unmoved, Moses called down a Plague of  - .",unassigned
"When the United States raced the Soviet Union to the moon, the Mexican government funneled millions of pesos into research on  - .",unassigned
Why am I sticky?,unassigned
Why can't I sleep at night?,unassigned
Why do I hurt all over?,unassigned
"In the seventh circle of Hell, sinners must endure -  for all eternity.",Expansion 3
A successful job interview begins with a firm handshake and ends with - .,Expansion 3
Lovin’ you is easy ’cause you’re - .,Expansion 3
My life is ruled by a vicious cycle of -  and - .,Expansion 3
The blind date was going horribly until we discovered our shared interest in - .,Expansion 3
" -  . Awesome in theory, kind of a mess in practice.",Expansion 3
I’m not like the rest of you. I’m too rich and busy for - .,Expansion 3
(Pick 2) -  : Hours of fun. Easy to use. Perfect for - !,Expansion 3
What left this stain on my couch?,Expansion 3
"Call the law offices of Goldstein & Goldstein, because no one should have to tolerate -  in the workplace.",Expansion 3
"(Pick 2) When you get right down to it, -  is just - .",Expansion 3
Turns out that – Man was neither the hero we needed nor wanted.,Expansion 3
"As part of his daily regimen, Anderson Cooper sets aside 15 minutes for - .",Expansion 3
"Money can’t buy me love, but it can buy me - .",Expansion 3
"(Pick 2) With enough time and pressure, -  will turn into - .",Expansion 3
And what did you bring for show and tell?,Expansion 3
During high school I never really fit in until I found -  club.,Expansion 3
"Hey baby, come back to my place and I’ll show you - .",Expansion 3
"(Pick 2) After months of practice with - , I think I’m finally ready for - .",Expansion 3
"To prepare for his upcoming role, Daniel Day-Lewis immersed himself in the world of - .",Expansion 3
Finally! A service that delivers -  right to your door.,Expansion 3
My gym teacher got fired for adding -  to the obstacle course.,Expansion 3
(Pick 2) Having problems with - ? Try - !,Expansion 3
"As part of his contract, Prince won’t perform without -  in his dressing room.",Expansion 3
"(Pick 2) Listen, son. If you want to get involved with - , I won’t stop you. Just steer clear of - . ",Expansion 3
